timestamp,settlement_period,niv,demand_forecast,wind_forecast,solar_forecast,generation_forecast,interconnector_flow,day_ahead_price,system_price,temperature
2025-01-01T00:00:00Z,1,0.0,25728.86,7974.25,0.0,23087.4,1328.86,46.74,47.51,10.42
2025-01-01T00:30:00Z,2,185.52,25911.84,8681.29,0.0,22939.74,2532.35,46.89,58.76,10.28
2025-01-01T01:00:00Z,3,-288.97,25256.17,8231.59,0.0,24071.27,2366.44,40.62,3.68,9.83
2025-01-01T01:30:00Z,4,-512.57,25170.32,7990.74,154.67,23481.63,1559.77,48.48,7.73,9.76
2025-01-01T02:00:00Z,5,-100.95,24969.47,7778.85,0.0,22148.09,2066.48,50.61,48.39,9.74
2025-01-01T02:30:00Z,6,-240.96,24751.81,7380.16,135.72,22301.17,2540.59,45.44,9.14,9.07
2025-01-01T03:00:00Z,7,98.86,24822.55,7181.93,0.0,22038.36,2724.81,49.16,46.73,8.56
2025-01-01T03:30:00Z,8,361.35,24349.59,6900.28,0.0,22034.22,1604.39,58.94,83.81,8.37
2025-01-01T04:00:00Z,9,177.86,24624.82,7181.59,75.29,22228.58,1971.31,51.07,50.82,8.09
2025-01-01T04:30:00Z,10,486.37,25471.94,6885.43,0.0,21788.68,2786.17,51.81,70.2,7.9
2025-01-01T05:00:00Z,11,-716.99,26114.94,6983.09,39.18,25881.59,1819.98,55.12,24.5,7.55
2025-01-01T05:30:00Z,12,96.72,26661.48,7379.59,0.0,23475.44,2645.03,55.38,67.24,7.59
2025-01-01T06:00:00Z,13,263.95,27828.86,7763.94,352.81,25114.01,2383.93,45.4,56.17,7.64
2025-01-01T06:30:00Z,14,263.11,28950.1,7258.17,421.69,26421.98,2303.85,57.43,85.83,7.56
2025-01-01T07:00:00Z,15,57.95,29800.78,6680.39,523.53,28934.01,1323.59,59.13,65.02,7.73
2025-01-01T07:30:00Z,16,616.13,30426.82,7262.07,780.66,26269.33,2889.09,66.35,105.38,7.79
2025-01-01T08:00:00Z,17,214.44,29512.7,7848.32,679.68,27414.3,2047.76,56.18,84.45,7.59
2025-01-01T08:30:00Z,18,17.44,29545.77,7729.95,908.22,27540.47,2093.91,65.0,68.99,7.69
2025-01-01T09:00:00Z,19,86.49,29635.8,8217.85,564.79,27357.26,2564.0,61.21,58.71,7.52
2025-01-01T09:30:00Z,20,15.69,29339.01,7878.19,1109.44,27127.45,2311.89,62.43,78.48,7.79
2025-01-01T10:00:00Z,21,353.06,28678.46,8595.19,1018.96,25724.34,2270.68,50.02,71.49,7.89
2025-01-01T10:30:00Z,22,383.1,28046.5,8422.01,1031.65,25818.29,2158.18,53.12,48.79,7.98
2025-01-01T11:00:00Z,23,170.34,27749.73,7636.86,1174.72,26176.19,1921.12,61.92,66.0,7.99
2025-01-01T11:30:00Z,24,-31.51,27812.33,7202.95,1356.78,26012.04,1838.14,47.18,56.66,8.44
2025-01-01T12:00:00Z,25,100.83,26892.55,7332.67,1315.39,24496.97,2341.71,54.65,72.27,8.6
2025-01-01T12:30:00Z,26,-347.58,28463.2,7679.73,1356.6,27814.33,1576.54,59.96,65.82,8.72
2025-01-01T13:00:00Z,27,-606.96,27581.05,7673.1,1073.87,26458.97,1652.17,53.35,23.42,8.86
2025-01-01T13:30:00Z,28,-29.67,28262.74,7504.38,1172.29,25915.45,1916.28,57.35,60.78,9.21
2025-01-01T14:00:00Z,29,217.92,27922.45,7756.4,807.71,25603.91,2122.15,62.31,83.98,9.53
2025-01-01T14:30:00Z,30,-279.78,28898.48,8161.39,1149.06,27726.35,1432.71,65.13,40.84,9.86
2025-01-01T15:00:00Z,31,-5.0,29278.85,8334.08,1070.34,27207.5,1350.55,51.92,68.87,10.18
2025-01-01T15:30:00Z,32,-133.85,30262.38,8138.23,1196.39,28720.18,1543.96,67.49,26.83,10.87
2025-01-01T16:00:00Z,33,177.15,30490.71,8101.65,1032.05,29540.34,1221.75,59.02,54.8,10.98
2025-01-01T16:30:00Z,34,370.71,31884.05,7149.28,1049.28,29653.36,1537.44,73.17,113.13,11.06
2025-01-01T17:00:00Z,35,-271.62,31102.46,7421.92,540.78,31113.39,529.34,62.39,47.43,11.05
2025-01-01T17:30:00Z,36,-492.69,32499.81,7499.25,703.27,30811.71,2226.47,65.87,32.88,11.34
2025-01-01T18:00:00Z,37,565.91,32264.06,7311.97,558.54,29458.66,1484.48,83.44,141.41,11.71
2025-01-01T18:30:00Z,38,150.77,31653.7,7675.21,282.77,31285.08,680.95,75.38,91.15,11.78
2025-01-01T19:00:00Z,39,-372.74,32583.42,6965.93,380.36,32328.8,1234.12,64.49,47.0,11.66
2025-01-01T19:30:00Z,40,-379.46,32011.77,7287.0,96.64,30481.28,1529.94,67.44,53.93,11.52
2025-01-01T20:00:00Z,41,387.86,29684.19,6965.41,15.28,27382.38,1457.5,63.13,72.85,11.68
2025-01-01T20:30:00Z,42,273.71,29969.41,6346.96,0.0,29444.01,920.88,66.29,76.72,11.82
2025-01-01T21:00:00Z,43,415.64,29537.54,6681.88,0.0,27063.04,2127.01,61.52,66.51,11.88
2025-01-01T21:30:00Z,44,-35.98,28836.59,6579.74,0.0,27211.05,1984.46,56.89,67.11,11.65
2025-01-01T22:00:00Z,45,-271.61,28810.8,6889.2,167.36,28220.25,1026.78,58.66,40.61,11.59
2025-01-01T22:30:00Z,46,114.3,28342.25,7529.28,0.0,25752.79,1822.39,57.86,62.84,11.48
2025-01-01T23:00:00Z,47,-42.48,27616.58,7369.39,0.0,26469.11,1297.0,52.67,57.29,11.37
2025-01-01T23:30:00Z,48,152.01,28290.21,7567.83,0.0,26499.06,1146.16,61.76,65.53,11.37
2025-01-02T00:00:00Z,1,248.31,26383.58,7797.3,0.65,24224.39,1327.66,47.26,52.33,11.09
2025-01-02T00:30:00Z,2,-138.78,25513.05,7437.19,118.38,23857.31,2144.94,53.19,44.88,11.01
2025-01-02T01:00:00Z,3,90.33,25099.65,7066.7,0.0,23766.26,1398.22,52.68,61.98,10.79
2025-01-02T01:30:00Z,4,571.65,25566.83,6735.51,0.0,21865.61,2043.81,50.47,108.12,10.61
2025-01-02T02:00:00Z,5,96.93,24445.65,6913.82,0.0,23548.05,1319.95,47.14,36.28,10.5
2025-01-02T02:30:00Z,6,521.67,24461.57,7016.76,265.2,21348.96,2347.73,53.58,76.55,9.93
2025-01-02T03:00:00Z,7,238.12,24515.04,7312.49,47.18,22571.64,1950.79,45.4,70.57,9.62
2025-01-02T03:30:00Z,8,229.11,24904.7,6755.23,0.0,22307.51,2326.52,56.04,77.92,9.28
2025-01-02T04:00:00Z,9,-350.56,24970.05,7221.97,94.8,23984.58,1609.13,50.25,31.76,8.92
2025-01-02T04:30:00Z,10,-253.78,24959.35,6877.39,0.0,22092.13,3201.72,56.8,40.45,8.66
2025-01-02T05:00:00Z,11,-34.85,26658.0,6687.13,0.0,23689.4,3135.98,48.33,51.13,8.8
2025-01-02T05:30:00Z,12,29.45,26747.57,7282.07,0.0,26013.37,1103.22,53.51,55.27,8.45
2025-01-02T06:00:00Z,13,188.15,28629.19,7165.24,0.0,25672.7,2882.92,55.4,47.99,8.52
2025-01-02T06:30:00Z,14,-188.28,28725.66,7305.13,431.12,26903.77,2380.05,64.85,53.03,8.04
2025-01-02T07:00:00Z,15,-155.14,29870.43,7822.22,358.13,27521.56,2535.14,59.94,55.02,7.88
2025-01-02T07:30:00Z,16,-485.43,30126.2,7997.43,697.56,28237.73,2504.57,56.13,26.23,7.87
